waveform	[0]	[1]
t0	12/31/1903  19:00:00.000000	12/31/1903  19:00:00.000000
delta t	0.001000	0.001000

time	Y[0]	Y[1]
12/31/1903  19:00:00.126000	2.867071E+0	8.831218E-1
12/31/1903  19:00:00.127000	2.907822E+0	7.379524E-1
12/31/1903  19:00:00.128000	2.941227E+0	5.909188E-1
12/31/1903  19:00:00.129000	2.967202E+0	4.423925E-1
12/31/1903  19:00:00.130000	2.985682E+0	2.927487E-1
12/31/1903  19:00:00.131000	2.996620E+0	1.423654E-1
12/31/1903  19:00:00.132000	2.999988E+0	-8.377570E-3
12/31/1903  19:00:00.133000	2.995778E+0	-1.590994E-1
12/31/1903  19:00:00.134000	2.984001E+0	-3.094192E-1
12/31/1903  19:00:00.135000	2.964685E+0	-4.589575E-1
12/31/1903  19:00:00.136000	2.937881E+0	-6.073364E-1
12/31/1903  19:00:00.137000	2.903655E+0	-7.541811E-1
12/31/1903  19:00:00.138000	2.862094E+0	-8.991207E-1
12/31/1903  19:00:00.139000	2.813303E+0	-1.041789E+0
12/31/1903  19:00:00.140000	2.757406E+0	-1.181826E+0
12/31/1903  19:00:00.141000	2.694543E+0	-1.318877E+0
12/31/1903  19:00:00.142000	2.624874E+0	-1.452597E+0
12/31/1903  19:00:00.143000	2.548574E+0	-1.582647E+0
12/31/1903  19:00:00.144000	2.465836E+0	-1.708699E+0
12/31/1903  19:00:00.145000	2.376869E+0	-1.830435E+0
12/31/1903  19:00:00.146000	2.281898E+0	-1.947548E+0
12/31/1903  19:00:00.147000	2.181163E+0	-2.059740E+0
12/31/1903  19:00:00.148000	2.074917E+0	-2.166730E+0
12/31/1903  19:00:00.149000	1.963431E+0	-2.268246E+0
12/31/1903  19:00:00.150000	1.846984E+0	-2.364032E+0
12/31/1903  19:00:00.151000	1.725872E+0	-2.453847E+0
12/31/1903  19:00:00.152000	1.600401E+0	-2.537463E+0
12/31/1903  19:00:00.153000	1.470886E+0	-2.614669E+0
12/31/1903  19:00:00.154000	1.337656E+0	-2.685270E+0
12/31/1903  19:00:00.155000	1.201047E+0	-2.749088E+0
12/31/1903  19:00:00.156000	1.061404E+0	-2.805962E+0
12/31/1903  19:00:00.157000	9.190798E-1	-2.855747E+0
12/31/1903  19:00:00.158000	7.744339E-1	-2.898319E+0
12/31/1903  19:00:00.159000	6.278317E-1	-2.933569E+0
12/31/1903  19:00:00.160000	4.796436E-1	-2.961409E+0
12/31/1903  19:00:00.161000	3.302438E-1	-2.981768E+0
12/31/1903  19:00:00.162000	1.800098E-1	-2.994595E+0
12/31/1903  19:00:00.163000	2.932106E-2	-2.999857E+0
12/31/1903  19:00:00.164000	-1.214417E-1	-2.997541E+0
12/31/1903  19:00:00.165000	-2.718977E-1	-2.987653E+0
12/31/1903  19:00:00.166000	-4.216669E-1	-2.970218E+0
12/31/1903  19:00:00.167000	-5.703709E-1	-2.945280E+0
12/31/1903  19:00:00.168000	-7.176341E-1	-2.912903E+0
12/31/1903  19:00:00.169000	-8.630845E-1	-2.873166E+0
12/31/1903  19:00:00.170000	-1.006355E+0	-2.826172E+0
12/31/1903  19:00:00.171000	-1.147083E+0	-2.772039E+0
12/31/1903  19:00:00.172000	-1.284913E+0	-2.710904E+0
12/31/1903  19:00:00.173000	-1.419498E+0	-2.642920E+0
12/31/1903  19:00:00.174000	-1.550497E+0	-2.568260E+0
12/31/1903  19:00:00.175000	-1.677579E+0	-2.487113E+0
12/31/1903  19:00:00.176000	-1.800423E+0	-2.399683E+0
12/31/1903  19:00:00.177000	-1.918720E+0	-2.306191E+0
12/31/1903  19:00:00.178000	-2.032169E+0	-2.206873E+0
12/31/1903  19:00:00.179000	-2.140485E+0	-2.101981E+0
12/31/1903  19:00:00.180000	-2.243394E+0	-1.991779E+0
12/31/1903  19:00:00.181000	-2.340636E+0	-1.876545E+0
12/31/1903  19:00:00.182000	-2.431966E+0	-1.756571E+0
12/31/1903  19:00:00.183000	-2.517152E+0	-1.632160E+0
12/31/1903  19:00:00.184000	-2.595979E+0	-1.503626E+0
12/31/1903  19:00:00.185000	-2.668249E+0	-1.371294E+0
12/31/1903  19:00:00.186000	-2.733779E+0	-1.235497E+0
12/31/1903  19:00:00.187000	-2.792403E+0	-1.096580E+0
12/31/1903  19:00:00.188000	-2.843973E+0	-9.548927E-1
12/31/1903  19:00:00.189000	-2.888358E+0	-8.107932E-1
12/31/1903  19:00:00.190000	-2.925448E+0	-6.646455E-1
12/31/1903  19:00:00.191000	-2.955148E+0	-5.168189E-1
12/31/1903  19:00:00.192000	-2.977382E+0	-3.676867E-1
12/31/1903  19:00:00.193000	-2.992096E+0	-2.176258E-1
